目的地,路线,运输段,承运商,单趟运量(件),起运日期,承运趟数,多少天一趟,到达日期,运费预算(CNY)
JP,JP_AIR,东京机场->日本销售中心,国际陆运,4404,2025-01-04,1,0,2025-01-05,7436.35
JP,JP_AIR,东京机场->日本销售中心,国际陆运,4255,2025-01-09,1,5,2025-01-10,7184.75
JP,JP_SEA,东京港->日本销售中心,国际陆运,5106,2025-01-15,1,0,2025-01-16,15153.3
JP,JP_SEA,东京港->日本销售中心,国际陆运,5106,2025-01-21,1,6,2025-01-22,15153.3
JP,JP_SEA,东京港->日本销售中心,国际陆运,5106,2025-01-27,1,6,2025-01-28,15153.3
JP,JP_SEA,东京港->日本销售中心,国际陆运,5106,2025-02-02,1,6,2025-02-03,15153.3
JP,JP_SEA,东京港->日本销售中心,国际陆运,5106,2025-02-08,1,6,2025-02-09,15153.3
JP,JP_SEA,东京港->日本销售中心,国际陆运,5106,2025-02-14,1,6,2025-02-15,15153.3
JP,JP_SEA,东京港->日本销售中心,国际陆运,5106,2025-02-20,1,6,2025-02-21,15153.3
NORTH,NORTH_VIA_RAIL,北京火车站->北方销售中心,易达快运,5285,2025-01-07,1,0,2025-01-08,6447.7
NORTH,NORTH_VIA_RAIL,北京火车站->北方销售中心,易达快运,5285,2025-01-14,1,7,2025-01-15,6447.7
NORTH,NORTH_VIA_RAIL,北京火车站->北方销售中心,易达快运,5285,2025-01-21,1,7,2025-01-22,6447.7
NORTH,NORTH_VIA_RAIL,北京火车站->北方销售中心,易达快运,5285,2025-01-28,1,7,2025-01-29,6447.7
NORTH,NORTH_VIA_RAIL,北京火车站->北方销售中心,易达快运,5285,2025-02-04,1,7,2025-02-05,6447.7
NORTH,NORTH_VIA_RAIL,北京火车站->北方销售中心,易达快运,5285,2025-02-11,1,7,2025-02-12,6447.7
NORTH,NORTH_VIA_RAIL,北京火车站->北方销售中心,易达快运,5285,2025-02-18,1,7,2025-02-19,6447.7
NORTH,NORTH_VIA_RAIL,北京火车站->北方销售中心,易达快运,5275,2025-02-25,1,7,2025-02-26,6435.5
JP,JP_SEA,北仑码头->东京港,中远海运,5106,2025-01-06,1,0,2025-01-15,63723.52
JP,JP_SEA,北仑码头->东京港,中远海运,5106,2025-01-12,1,6,2025-01-21,63723.52
JP,JP_SEA,北仑码头->东京港,中远海运,5106,2025-01-18,1,6,2025-01-27,63723.52
JP,JP_SEA,北仑码头->东京港,中远海运,5106,2025-01-24,1,6,2025-02-02,63723.52
JP,JP_SEA,北仑码头->东京港,中远海运,5106,2025-01-30,1,6,2025-02-08,63723.52
JP,JP_SEA,北仑码头->东京港,中远海运,5106,2025-02-05,1,6,2025-02-14,63723.52
JP,JP_SEA,北仑码头->东京港,中远海运,5106,2025-02-11,1,6,2025-02-20,63723.52
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3452,2025-01-06,1,0,2025-01-07,4142.4
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3252,2025-01-12,1,6,2025-01-13,3902.4
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3252,2025-01-18,1,6,2025-01-19,3902.4
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3252,2025-01-24,1,6,2025-01-25,3902.4
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3252,2025-01-30,1,6,2025-01-31,3902.4
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3252,2025-02-05,1,6,2025-02-06,3902.4
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3252,2025-02-11,1,6,2025-02-12,3902.4
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3252,2025-02-17,1,6,2025-02-18,3902.4
SOUTH,SOUTH_VIA_RAIL,南京火车站->南方销售中心,开源陆运,3252,2025-02-23,1,6,2025-02-24,3902.4
JP,JP_SEA,宁波工厂->北仑码头,易达快运,5106,2025-01-05,1,0,2025-01-06,6229.32
JP,JP_SEA,宁波工厂->北仑码头,易达快运,5106,2025-01-11,1,6,2025-01-12,6229.32
JP,JP_SEA,宁波工厂->北仑码头,易达快运,5106,2025-01-17,1,6,2025-01-18,6229.32
JP,JP_SEA,宁波工厂->北仑码头,易达快运,5106,2025-01-23,1,6,2025-01-24,6229.32
JP,JP_SEA,宁波工厂->北仑码头,易达快运,5106,2025-01-29,1,6,2025-01-30,6229.32
JP,JP_SEA,宁波工厂->北仑码头,易达快运,5106,2025-02-04,1,6,2025-02-05,6229.32
JP,JP_SEA,宁波工厂->北仑码头,易达快运,5106,2025-02-10,1,6,2025-02-11,6229.32
NORTH,NORTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,5285,2025-01-01,1,0,2025-01-02,4333.7
SOUTH,SOUTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,3452,2025-01-03,1,2,2025-01-04,2830.64
NORTH,NORTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,5285,2025-01-08,1,5,2025-01-09,4333.7
SOUTH,SOUTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,3252,2025-01-09,1,1,2025-01-10,2666.64
SOUTH,SOUTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,3252,2025-01-15,1,6,2025-01-16,2666.64
NORTH,NORTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,5285,2025-01-15,1,0,2025-01-16,4333.7
SOUTH,SOUTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,3252,2025-01-21,1,6,2025-01-22,2666.64
NORTH,NORTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,5285,2025-01-22,1,1,2025-01-23,4333.7
SOUTH,SOUTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,3252,2025-01-27,1,5,2025-01-28,2666.64
NORTH,NORTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,5285,2025-01-29,1,2,2025-01-30,4333.7
SOUTH,SOUTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,3252,2025-02-02,1,4,2025-02-03,2666.64
NORTH,NORTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,5285,2025-02-05,1,3,2025-02-06,4333.7
SOUTH,SOUTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,3252,2025-02-08,1,3,2025-02-09,2666.64
NORTH,NORTH_VIA_RAIL,宁波工厂->宁波火车站,开源陆运,5285,2025-02-12,1,4,2025-02-13,4333.7
