日期,期初库存,产量,发货,期末库存,超限量,当日超限费
2025-01-01,5000.0,2970,5285,2685.0,0.0,0.0
2025-01-02,2685.0,2970,4404,1251.0,0.0,0.0
2025-01-03,1251.0,2970,3452,769.0,0.0,0.0
2025-01-04,769.0,2970,0,3739.0,0.0,0.0
2025-01-05,3739.0,2970,5106,1603.0,0.0,0.0
2025-01-06,1603.0,2970,0,4573.0,0.0,0.0
2025-01-07,4573.0,2970,4255,3288.0,0.0,0.0
2025-01-08,3288.0,2970,5285,973.0,0.0,0.0
2025-01-09,973.0,2970,3252,691.0,0.0,0.0
2025-01-10,691.0,2970,0,3661.0,0.0,0.0
2025-01-11,3661.0,2970,5106,1525.0,0.0,0.0
2025-01-12,1525.0,2970,0,4495.0,0.0,0.0
2025-01-13,4495.0,2970,0,7465.0,1465.0,7325.0
2025-01-14,7465.0,2970,0,10435.0,4435.0,22175.0
2025-01-15,10435.0,2970,8537,4868.0,0.0,0.0
2025-01-16,4868.0,2970,0,7838.0,1838.0,9190.0
2025-01-17,7838.0,2970,5106,5702.0,0.0,0.0
2025-01-18,5702.0,2970,0,8672.0,2672.0,13360.0
2025-01-19,8672.0,2970,0,11642.0,5642.0,28210.0
2025-01-20,11642.0,2970,0,14612.0,8612.0,43060.0
2025-01-21,14612.0,2970,3252,14330.0,8330.0,41650.0
2025-01-22,14330.0,2970,5285,12015.0,6015.0,30075.0
2025-01-23,12015.0,2970,5106,9879.0,3879.0,19395.0
2025-01-24,9879.0,2970,0,12849.0,6849.0,34245.0
2025-01-25,12849.0,2970,0,15819.0,9819.0,49095.0
2025-01-26,15819.0,2970,0,18789.0,12789.0,63945.0
2025-01-27,18789.0,2970,3252,18507.0,12507.0,62535.0
2025-01-28,18507.0,2970,0,21477.0,15477.0,77385.0
2025-01-29,21477.0,2970,10391,14056.0,8056.0,40280.0
2025-01-30,14056.0,2970,0,17026.0,11026.0,55130.0
2025-01-31,17026.0,2970,0,19996.0,13996.0,69980.0
2025-02-01,19996.0,2970,0,22966.0,16966.0,84830.0
2025-02-02,22966.0,2970,3252,22684.0,16684.0,83420.0
2025-02-03,22684.0,2970,0,25654.0,19654.0,98270.0
2025-02-04,25654.0,2970,5106,23518.0,17518.0,87590.0
2025-02-05,23518.0,2970,5285,21203.0,15203.0,76015.0
2025-02-06,21203.0,2970,0,24173.0,18173.0,90865.0
2025-02-07,24173.0,2970,0,27143.0,21143.0,105715.0
2025-02-08,27143.0,2970,3252,26861.0,20861.0,104305.0
2025-02-09,26861.0,2970,0,29831.0,23831.0,119155.0
2025-02-10,29831.0,2970,5106,27695.0,21695.0,108475.0
2025-02-11,27695.0,2970,0,30665.0,24665.0,123325.0
2025-02-12,30665.0,2970,5285,28350.0,22350.0,111750.0
2025-02-13,28350.0,2970,0,31320.0,25320.0,126600.0
2025-02-14,31320.0,2970,3252,31038.0,25038.0,125190.0
2025-02-15,31038.0,2970,0,34008.0,28008.0,140040.0
2025-02-16,34008.0,2970,0,36978.0,30978.0,154890.0
2025-02-17,36978.0,2970,0,39948.0,33948.0,169740.0
2025-02-18,39948.0,2970,0,42918.0,36918.0,184590.0
2025-02-19,42918.0,2970,5275,40613.0,34613.0,173065.0
2025-02-20,40613.0,2970,3252,40331.0,34331.0,171655.0
2025-02-21,40331.0,2970,0,43301.0,37301.0,186505.0
2025-02-22,43301.0,2970,0,46271.0,40271.0,201355.0
2025-02-23,46271.0,2970,0,49241.0,43241.0,216205.0
2025-02-24,49241.0,2970,0,52211.0,46211.0,231055.0
2025-02-25,52211.0,2970,0,55181.0,49181.0,245905.0
2025-02-26,55181.0,2970,0,58151.0,52151.0,260755.0
2025-02-27,58151.0,0,0,58151.0,52151.0,260755.0
2025-02-28,58151.0,0,0,58151.0,52151.0,260755.0
2025-03-01,58151.0,0,0,58151.0,52151.0,260755.0
2025-03-02,58151.0,0,0,58151.0,52151.0,260755.0
