日期,期初库存,到货,到货后,销量,期末库存
2025-01-01,7000.0,0,7000.0,851,6149.0
2025-01-02,6149.0,0,6149.0,851,5298.0
2025-01-03,5298.0,0,5298.0,851,4447.0
2025-01-04,4447.0,0,4447.0,851,3596.0
2025-01-05,3596.0,4404,8000.0,851,7149.0
2025-01-06,7149.0,0,7149.0,851,6298.0
2025-01-07,6298.0,0,6298.0,851,5447.0
2025-01-08,5447.0,0,5447.0,851,4596.0
2025-01-09,4596.0,0,4596.0,851,3745.0
2025-01-10,3745.0,4255,8000.0,851,7149.0
2025-01-11,7149.0,0,7149.0,851,6298.0
2025-01-12,6298.0,0,6298.0,851,5447.0
2025-01-13,5447.0,0,5447.0,851,4596.0
2025-01-14,4596.0,0,4596.0,851,3745.0
2025-01-15,3745.0,0,3745.0,851,2894.0
2025-01-16,2894.0,5106,8000.0,851,7149.0
2025-01-17,7149.0,0,7149.0,851,6298.0
2025-01-18,6298.0,0,6298.0,851,5447.0
2025-01-19,5447.0,0,5447.0,851,4596.0
2025-01-20,4596.0,0,4596.0,851,3745.0
2025-01-21,3745.0,0,3745.0,851,2894.0
2025-01-22,2894.0,5106,8000.0,851,7149.0
2025-01-23,7149.0,0,7149.0,851,6298.0
2025-01-24,6298.0,0,6298.0,851,5447.0
2025-01-25,5447.0,0,5447.0,851,4596.0
2025-01-26,4596.0,0,4596.0,851,3745.0
2025-01-27,3745.0,0,3745.0,851,2894.0
2025-01-28,2894.0,5106,8000.0,851,7149.0
2025-01-29,7149.0,0,7149.0,851,6298.0
2025-01-30,6298.0,0,6298.0,851,5447.0
2025-01-31,5447.0,0,5447.0,851,4596.0
2025-02-01,4596.0,0,4596.0,851,3745.0
2025-02-02,3745.0,0,3745.0,851,2894.0
2025-02-03,2894.0,5106,8000.0,851,7149.0
2025-02-04,7149.0,0,7149.0,851,6298.0
2025-02-05,6298.0,0,6298.0,851,5447.0
2025-02-06,5447.0,0,5447.0,851,4596.0
2025-02-07,4596.0,0,4596.0,851,3745.0
2025-02-08,3745.0,0,3745.0,851,2894.0
2025-02-09,2894.0,5106,8000.0,851,7149.0
2025-02-10,7149.0,0,7149.0,851,6298.0
2025-02-11,6298.0,0,6298.0,851,5447.0
2025-02-12,5447.0,0,5447.0,851,4596.0
2025-02-13,4596.0,0,4596.0,851,3745.0
2025-02-14,3745.0,0,3745.0,851,2894.0
2025-02-15,2894.0,5106,8000.0,851,7149.0
2025-02-16,7149.0,0,7149.0,851,6298.0
2025-02-17,6298.0,0,6298.0,851,5447.0
2025-02-18,5447.0,0,5447.0,851,4596.0
2025-02-19,4596.0,0,4596.0,851,3745.0
2025-02-20,3745.0,0,3745.0,851,2894.0
2025-02-21,2894.0,5106,8000.0,851,7149.0
2025-02-22,7149.0,0,7149.0,851,6298.0
2025-02-23,6298.0,0,6298.0,851,5447.0
2025-02-24,5447.0,0,5447.0,851,4596.0
2025-02-25,4596.0,0,4596.0,851,3745.0
2025-02-26,3745.0,0,3745.0,851,2894.0
2025-02-27,2894.0,0,2894.0,851,2043.0
2025-02-28,2043.0,0,2043.0,851,1192.0
2025-03-01,1192.0,0,1192.0,819,373.0
2025-03-02,373.0,0,373.0,0,373.0
