日期,期初库存,到货,到货后,销量,期末库存
2025-01-01,6000.0,0,6000.0,755,5245.0
2025-01-02,5245.0,0,5245.0,755,4490.0
2025-01-03,4490.0,0,4490.0,755,3735.0
2025-01-04,3735.0,0,3735.0,755,2980.0
2025-01-05,2980.0,0,2980.0,755,2225.0
2025-01-06,2225.0,0,2225.0,755,1470.0
2025-01-07,1470.0,0,1470.0,755,715.0
2025-01-08,715.0,5285,6000.0,755,5245.0
2025-01-09,5245.0,0,5245.0,755,4490.0
2025-01-10,4490.0,0,4490.0,755,3735.0
2025-01-11,3735.0,0,3735.0,755,2980.0
2025-01-12,2980.0,0,2980.0,755,2225.0
2025-01-13,2225.0,0,2225.0,755,1470.0
2025-01-14,1470.0,0,1470.0,755,715.0
2025-01-15,715.0,5285,6000.0,755,5245.0
2025-01-16,5245.0,0,5245.0,755,4490.0
2025-01-17,4490.0,0,4490.0,755,3735.0
2025-01-18,3735.0,0,3735.0,755,2980.0
2025-01-19,2980.0,0,2980.0,755,2225.0
2025-01-20,2225.0,0,2225.0,755,1470.0
2025-01-21,1470.0,0,1470.0,755,715.0
2025-01-22,715.0,5285,6000.0,755,5245.0
2025-01-23,5245.0,0,5245.0,755,4490.0
2025-01-24,4490.0,0,4490.0,755,3735.0
2025-01-25,3735.0,0,3735.0,755,2980.0
2025-01-26,2980.0,0,2980.0,755,2225.0
2025-01-27,2225.0,0,2225.0,755,1470.0
2025-01-28,1470.0,0,1470.0,755,715.0
2025-01-29,715.0,5285,6000.0,755,5245.0
2025-01-30,5245.0,0,5245.0,755,4490.0
2025-01-31,4490.0,0,4490.0,755,3735.0
2025-02-01,3735.0,0,3735.0,755,2980.0
2025-02-02,2980.0,0,2980.0,755,2225.0
2025-02-03,2225.0,0,2225.0,755,1470.0
2025-02-04,1470.0,0,1470.0,755,715.0
2025-02-05,715.0,5285,6000.0,755,5245.0
2025-02-06,5245.0,0,5245.0,755,4490.0
2025-02-07,4490.0,0,4490.0,755,3735.0
2025-02-08,3735.0,0,3735.0,755,2980.0
2025-02-09,2980.0,0,2980.0,755,2225.0
2025-02-10,2225.0,0,2225.0,755,1470.0
2025-02-11,1470.0,0,1470.0,755,715.0
2025-02-12,715.0,5285,6000.0,755,5245.0
2025-02-13,5245.0,0,5245.0,755,4490.0
2025-02-14,4490.0,0,4490.0,755,3735.0
2025-02-15,3735.0,0,3735.0,755,2980.0
2025-02-16,2980.0,0,2980.0,755,2225.0
2025-02-17,2225.0,0,2225.0,755,1470.0
2025-02-18,1470.0,0,1470.0,755,715.0
2025-02-19,715.0,5285,6000.0,755,5245.0
2025-02-20,5245.0,0,5245.0,755,4490.0
2025-02-21,4490.0,0,4490.0,755,3735.0
2025-02-22,3735.0,0,3735.0,755,2980.0
2025-02-23,2980.0,0,2980.0,755,2225.0
2025-02-24,2225.0,0,2225.0,755,1470.0
2025-02-25,1470.0,0,1470.0,755,715.0
2025-02-26,715.0,5275,5990.0,755,5235.0
2025-02-27,5235.0,0,5235.0,755,4480.0
2025-02-28,4480.0,0,4480.0,755,3725.0
2025-03-01,3725.0,0,3725.0,725,3000.0
2025-03-02,3000.0,0,3000.0,0,3000.0
