日期,期初库存,到货,到货后,销量,期末库存
2025-01-01,4800.0,0,4800.0,542,4258.0
2025-01-02,4258.0,0,4258.0,542,3716.0
2025-01-03,3716.0,0,3716.0,542,3174.0
2025-01-04,3174.0,0,3174.0,542,2632.0
2025-01-05,2632.0,0,2632.0,542,2090.0
2025-01-06,2090.0,0,2090.0,542,1548.0
2025-01-07,1548.0,3452,5000.0,542,4458.0
2025-01-08,4458.0,0,4458.0,542,3916.0
2025-01-09,3916.0,0,3916.0,542,3374.0
2025-01-10,3374.0,0,3374.0,542,2832.0
2025-01-11,2832.0,0,2832.0,542,2290.0
2025-01-12,2290.0,0,2290.0,542,1748.0
2025-01-13,1748.0,3252,5000.0,542,4458.0
2025-01-14,4458.0,0,4458.0,542,3916.0
2025-01-15,3916.0,0,3916.0,542,3374.0
2025-01-16,3374.0,0,3374.0,542,2832.0
2025-01-17,2832.0,0,2832.0,542,2290.0
2025-01-18,2290.0,0,2290.0,542,1748.0
2025-01-19,1748.0,3252,5000.0,542,4458.0
2025-01-20,4458.0,0,4458.0,542,3916.0
2025-01-21,3916.0,0,3916.0,542,3374.0
2025-01-22,3374.0,0,3374.0,542,2832.0
2025-01-23,2832.0,0,2832.0,542,2290.0
2025-01-24,2290.0,0,2290.0,542,1748.0
2025-01-25,1748.0,3252,5000.0,542,4458.0
2025-01-26,4458.0,0,4458.0,542,3916.0
2025-01-27,3916.0,0,3916.0,542,3374.0
2025-01-28,3374.0,0,3374.0,542,2832.0
2025-01-29,2832.0,0,2832.0,542,2290.0
2025-01-30,2290.0,0,2290.0,542,1748.0
2025-01-31,1748.0,3252,5000.0,542,4458.0
2025-02-01,4458.0,0,4458.0,542,3916.0
2025-02-02,3916.0,0,3916.0,542,3374.0
2025-02-03,3374.0,0,3374.0,542,2832.0
2025-02-04,2832.0,0,2832.0,542,2290.0
2025-02-05,2290.0,0,2290.0,542,1748.0
2025-02-06,1748.0,3252,5000.0,542,4458.0
2025-02-07,4458.0,0,4458.0,542,3916.0
2025-02-08,3916.0,0,3916.0,542,3374.0
2025-02-09,3374.0,0,3374.0,542,2832.0
2025-02-10,2832.0,0,2832.0,542,2290.0
2025-02-11,2290.0,0,2290.0,542,1748.0
2025-02-12,1748.0,3252,5000.0,542,4458.0
2025-02-13,4458.0,0,4458.0,542,3916.0
2025-02-14,3916.0,0,3916.0,542,3374.0
2025-02-15,3374.0,0,3374.0,542,2832.0
2025-02-16,2832.0,0,2832.0,542,2290.0
2025-02-17,2290.0,0,2290.0,542,1748.0
2025-02-18,1748.0,3252,5000.0,542,4458.0
2025-02-19,4458.0,0,4458.0,542,3916.0
2025-02-20,3916.0,0,3916.0,542,3374.0
2025-02-21,3374.0,0,3374.0,542,2832.0
2025-02-22,2832.0,0,2832.0,542,2290.0
2025-02-23,2290.0,0,2290.0,542,1748.0
2025-02-24,1748.0,3252,5000.0,542,4458.0
2025-02-25,4458.0,0,4458.0,542,3916.0
2025-02-26,3916.0,0,3916.0,542,3374.0
2025-02-27,3374.0,0,3374.0,542,2832.0
2025-02-28,2832.0,0,2832.0,542,2290.0
2025-03-01,2290.0,0,2290.0,542,1748.0
2025-03-02,1748.0,0,1748.0,20,1728.0
