日期,期初库存,产量,发货,期末库存
2025-01-01,200.0,80.0,0,280.0
2025-01-02,280.0,80.0,0,360.0
2025-01-03,360.0,80.0,0,440.0
2025-01-04,440.0,80.0,0,520.0
2025-01-05,520.0,80.0,0,600.0
2025-01-06,600.0,80.0,0,680.0
2025-01-07,680.0,80.0,0,760.0
2025-01-08,760.0,80.0,840,0.0
2025-01-09,0.0,80.0,0,80.0
2025-01-10,80.0,80.0,0,160.0
2025-01-11,160.0,80.0,0,240.0
2025-01-12,240.0,80.0,0,320.0
2025-01-13,320.0,80.0,0,400.0
2025-01-14,400.0,80.0,0,480.0
2025-01-15,480.0,80.0,0,560.0
2025-01-16,560.0,80.0,0,640.0
2025-01-17,640.0,80.0,0,720.0
2025-01-18,720.0,80.0,0,800.0
2025-01-19,800.0,80.0,880,0.0
2025-01-20,0.0,80.0,0,80.0
2025-01-21,80.0,80.0,0,160.0
2025-01-22,160.0,80.0,0,240.0
2025-01-23,240.0,80.0,0,320.0
2025-01-24,320.0,80.0,0,400.0
2025-01-25,400.0,80.0,0,480.0
2025-01-26,480.0,80.0,0,560.0
2025-01-27,560.0,80.0,0,640.0
2025-01-28,640.0,80.0,0,720.0
2025-01-29,720.0,80.0,0,800.0
2025-01-30,800.0,80.0,0,880.0
2025-01-31,880.0,80.0,960,0.0
2025-02-01,0.0,80.0,0,80.0
2025-02-02,80.0,80.0,0,160.0
2025-02-03,160.0,80.0,0,240.0
2025-02-04,240.0,80.0,0,320.0
2025-02-05,320.0,80.0,0,400.0
2025-02-06,400.0,80.0,0,480.0
2025-02-07,480.0,80.0,0,560.0
2025-02-08,560.0,80.0,0,640.0
2025-02-09,640.0,80.0,0,720.0
2025-02-10,720.0,80.0,0,800.0
2025-02-11,800.0,80.0,0,880.0
2025-02-12,880.0,80.0,0,960.0
2025-02-13,960.0,80.0,964,76.0
2025-02-14,76.0,0.0,0,76.0
2025-02-15,76.0,0.0,0,76.0
2025-02-16,76.0,0.0,0,76.0
2025-02-17,76.0,0.0,0,76.0
2025-02-18,76.0,0.0,0,76.0
2025-02-19,76.0,0.0,0,76.0
2025-02-20,76.0,0.0,0,76.0
2025-02-21,76.0,0.0,0,76.0
2025-02-22,76.0,0.0,0,76.0
2025-02-23,76.0,0.0,0,76.0
2025-02-24,76.0,0.0,0,76.0
2025-02-25,76.0,0.0,0,76.0
2025-02-26,76.0,0.0,0,76.0
